JYear,Year,SEAKCatch,ISTI20_MJJ,CPUE,Chatham_SST_MJJ,Chatham_SST_May,Chatham_SST_AMJJ,Chatham_SST_AMJ,Icy_Strait_SST_MJJ,Icy_Strait_SST_May,Icy_Strait_SST_AMJJ,Icy_Strait_SST_AMJ,NSEAK_SST_MJJ,NSEAK_SST_May,NSEAK_SST_AMJJ,NSEAK_SST_AMJ,SEAK_SST_MJJ,SEAK_SST_May,SEAK_SST_AMJJ,SEAK_SST_AMJ,index,weight_values
2008,2009,38.024357,7.9118,2.323473052,8.645857295,6.774217252,7.688322684,6.830777423,8.849666667,6.427714286,7.723642857,6.679857143,8.645089286,6.637254464,7.627074033,6.737522321,9.184993116,7.216113406,8.165332332,7.281231694,pink_cal_pool,0.001
2009,2010,24.141671,9.3567,2.333003071,9.747880724,7.29798722,8.457276358,7.349584665,9.936428571,7.186857143,8.466,7.219761905,9.773665675,7.320751488,8.396283482,7.238375496,10.20194893,7.76138941,8.852883965,7.732964076,pink_cal_pool,0.001
2010,2011,58.882054,9.3533,4.10831806,9.645410011,7.969105431,8.661701278,7.925846645,9.872761905,7.708714286,8.680892857,7.807904762,9.623722718,7.755565476,8.540399926,7.71921875,10.0920691,8.283405933,9.052232445,8.226806859,pink_cal_pool,0.001
2011,2012,21.277018,8.6533,1.454838125,9.591288605,7.312428115,8.492771565,7.547763578,9.843714286,6.809857143,8.474535714,7.178809524,9.665032242,7.251808036,8.43703683,7.436448413,10.05173238,7.740296658,8.883162786,7.918394042,pink_cal_pool,0.001
2012,2013,94.719422,8.4767,3.521505182,9.168242812,7.071565495,8.181861022,7.224142705,9.232047619,6.924857143,8.104178571,7.066952381,9.141282242,6.951986607,8.088485863,7.102557044,9.679481787,7.46885092,8.627470897,7.606586557,pink_cal_pool,0.001
2013,2014,37.1738647,8.8347,2.142767709,9.656230032,6.741309904,8.441797125,7.213631523,9.880714286,6.369857143,8.452142857,6.973952381,9.67311756,6.588735119,8.35515811,7.041044147,10.39433346,7.510859932,9.104802854,7.85053824,pink_cal_pool,0.001
2014,2015,35.092568,9.12,3.817373297,9.975175719,8.165239617,8.755798722,7.767689031,10.23414286,7.897285714,8.81025,7.622952381,10.02861855,8.153869048,8.701034226,7.637539683,10.56935787,8.615362373,9.264317499,8.173009138,pink_cal_pool,0.001
2015,2016,18.3742,9.6067,2.452646547,10.6215229,8.873769968,9.554488818,8.73,10.72547619,8.341142857,9.430714286,8.29247619,10.80536706,8.918936012,9.559315476,8.653417659,11.42881086,9.643894104,10.213681,9.315996996,pink_cal_pool,0.001
2016,2017,34.734774,10.1985,4.351092515,11.0371459,8.915527157,10.0336901,9.068146965,11.64580952,8.806714286,10.37092857,9.137666667,11.18063492,8.917068452,10.05304129,9.001381448,11.67002253,9.607217424,10.59035205,9.592910252,pink_cal_pool,0.001
2017,2018,8.0677,8.5605,0.34583664,9.654909478,7.652939297,8.695822684,7.759669862,9.819952381,7.215714286,8.662571429,7.506714286,9.821436012,7.75,8.766136533,7.776912202,10.30890725,8.254776568,9.282535674,8.287829516,pink_cal_pool,0.001
2018,2019,21.14191,8.925,1.17155842,9.870670927,7.403546326,8.753682109,7.6142918,9.986380952,6.920571429,8.739,7.432714286,10.10597718,7.533891369,8.857790179,7.62624256,10.78651521,8.279545625,9.537979722,8.295293529,pink_cal_pool,0.001
2019,2020,8.062989,9.9112,1.141970892,10.47024494,8.24399361,9.455543131,8.354930777,10.73871429,7.786571429,9.514035714,8.099142857,10.87125744,8.423013393,9.649970238,8.43640873,11.46330705,9.013203154,10.24567124,9.047048442,pink_cal_pool,1
2020,2021,48.528192,8.8883,2.147502256,9.993876464,8.08942492,8.835375399,7.860308839,10.39714286,7.834,9.048571429,7.855619048,10.22914435,8.264471726,8.982358631,7.944806548,10.7027613,8.898197522,9.522393917,8.528336463,pink_cal_pool,1
2021,2022,18.299158,8.8855,0.870736152,10.06083067,7.2485623,8.895159744,7.629190628,10.25933333,6.913571429,8.906642857,7.468,10.22695437,7.293787202,8.95766369,7.646894841,10.81557892,7.970443109,9.584913631,8.305451245,pink_cal_pool,1
2022,2023,47.839511,8.9844,1.446381208,10.174377,7.515079872,8.918003195,7.64171459,10.34238095,7.134428571,8.884785714,7.402857143,10.52362847,7.622693452,9.107412574,7.735262897,11.04067217,8.215925648,9.683010702,8.377366379,pink_cal_pool,1
2023,2024,20.117507,8.923,1.193241169,9.798541001,7.528083067,8.606325879,7.403461129,9.715333333,7.126714286,8.431178571,7.095904762,9.976884921,7.531145833,8.691294643,7.40577381,10.68258606,8.212482163,9.349238641,8.03673426,pink_cal_pool,1
2024,2025,,9.34,1.660168964,9.711490948,7.764728435,8.821629393,7.915111821,9.86052381,7.407428571,8.797678571,7.645809524,9.94953621,7.809858631,8.925591518,7.916755952,10.48775441,8.456391288,9.513204093,8.52023282,pink_cal_pool,1
